pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"kbiu/8/11"|"GB-0404",1,"109,5/75,5/60"|"Ольха"|"Поп"|"Столы"|"Гербор"
"kbiu/8/9"|"GB-0405",1,"90/75,5/60"|"Ольха"|"Поп"|"Столы"|"Гербор"
"kbiun/8/9"|"GB-0406",1,"90,5/75,5/90,5"|"Ольха"|"Поп"|"Столы"|"Гербор"
"kpb/19/6"|"GB-0407",1,"60/198,5/36,5"|"Ольха"|"Поп"|"Шкаф для обуви"|"Гербор"
"kpb/18/5"|"GB-0408",1,"53/182,5/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/14/5"|"GB-0409",1,"53/144/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/10/5"|"GB-0410",1,"53/105,5/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/12/7"|"GB-0411",1,"76/127/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/8/7"|"GB-0412",1,"76/88,5/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/14/10"|"GB-0413",1,"104/144/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"kpb/10/10"|"GB-0414",1,"104/105/17,5"|"Ольха"|"Поп"|"Тумбы для обуви"|"Гербор"
"krtv1s/7/9"|"GB-0415",1,"90/69/50,5"|"Ольха"|"Поп"|"Тумбы РТВ"|"Гербор"
"krtvd1s/5/9"|"GB-0416",1,"90/51/58"|"Ольха"|"Поп"|"Тумбы РТВ"|"Гербор"
"krtvd1s/5/11"|"GB-0417",1,"109,5/51/58"|"Ольха"|"Поп"|"Тумбы РТВ"|"Гербор"
"knzo/19/3"|"GB-0418",1,"33/198,5/33"|"Ольха"|"Поп"|"Пенал"|"Гербор"
"k3so/19/4"|"GB-0419",1,"39/198,5/26,5"|"Ольха"|"Поп"|"Пенал"|"Гербор"
"kop/19/4"|"GB-0420",1,"39/198,5/27"|"Ольха"|"Поп"|"Пенал"|"Гербор"
"ko/19/5"|"GB-0421",1,"54/198,5/33,5"|"Ольха"|"Поп"|"Пенал"|"Гербор"
"ko/19/7"|"GB-0422",1,"74/198,5/33,5"|"Ольха"|"Поп"|"Пенал"|"Гербор"
"kd/19/5"|"GB-0423",1,"54/198,5/40"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"kd/19/7"|"GB-0424",1,"74/198,5/40"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksu/19/5"|"GB-0425",1,"54/198,,5/55"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksu/19/7"|"GB-0426",1,"74/198,5/55"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"kd2s/19/5"|"GB-0427",1,"54/198,5/40"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"kd2s/19/7"|"GB-0428",1,"74/198,5/40"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksu2s/19/5"|"GB-0429",1,"54/198,5/55"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksu2s/19/7"|"GB-0430",1,"74/198,5/55"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksu/19/11"|"GB-0431",1,"109,5/198,5/55"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"ksun/19/7"|"GB-0432",1,"71,5/198,5/33-71,5"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"kb/19/7"|"GB-0433",1,"74/198,5/33,5"|"Ольха"|"Поп"|"Шкаф"|"Гербор"
"kw2s/19/5"|"GB-0434",1,"54/198,5/40"|"Ольха"|"Поп"|"Витрина"|"Гербор"
"kw2s/19/7"|"GB-0435",1,"74/198,5/40"|"Ольха"|"Поп"|"Витрина"|"Гербор"
"kw/11/7"|"GB-0436",1,"74/113,5/33,5"|"Ольха"|"Поп"|"Витрина"|"Гербор"
"kw3so/11/11"|"GB-0437",1,"109,5/113,5/33,5"|"Ольха"|"Поп"|"Витрина"|"Гербор"
"kr/16/9"|"GB-0438",1,"88/172/28"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"kr/16/11"|"GB-0439",1,"108/172/28"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"kr1s/13/9"|"GB-0440",1,"90/130/28"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"ko/11/4"|"GB-0441",1,"39/113,5/33,5"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"ko/11/5"|"GB-0442",1,"54/113,5/33,5"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"ko/11/7"|"GB-0443",1,"74/113,5/33,5"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"knzo/11/3"|"GB-0444",1,"33/113,5/33"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"know/11/6"|"GB-0445",1,"58/113,5/33-58"|"Ольха"|"Поп"|"Стеллаж"|"Гербор"
"kdo/11/5"|"GB-0446",1,"54/113,5/33,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kdo/11/7"|"GB-0447",1,"74/113,5/33,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kdo/8/7"|"GB-0448",1,"74/86/33,5"|"Ольха"|"Поп"|"комод"|"Гербор"
"kd/8/5"|"GB-0449",1,"54/86/33,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kd/8/7"|"GB-0450",1,"74/86/33,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kd/11/7"|"GB-0451",1,"74/113,5/33,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kb/11/5"|"GB-0452",1,"54/113,5/33,5"|"Ольха"|"Поп"|"Комод"|"Гербор"
"kn2s/11/11"|"GB-0453",1,"120/111/26,5"|"Ольха"|"Поп"|"Надставка"|"Гербор"
"kp/1/4"|"GB-0454",1,"40/10/40"|"Ольха"|"Поп"|"Надставка"|"Гербор"
"kpn/1/6"|"GB-0455",1,"60/15/40"|"Ольха"|"Поп"|"Надставка"|"Гербор"
"kp/1/5"|"GB-0456",1,"54/8/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp/1/6"|"GB-0457",1,"65/8/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp/1/7"|"GB-0458",1,"74/8/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp/1/9"|"GB-0459",1,"90/8/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp/1/11"|"GB-0460",1,"109,5/8/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp/3/11"|"GB-0461",1,"109,5/32/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kpo/3/5"|"GB-0462",1,"54/32/26,5"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kpo/3/7"|"GB-0463",1,"74/32/26,5"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kpo/3/11"|"GB-0464",1,"109,5/32/26,5"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp1S/1/5"|"GB-0465",1,"54/19/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp1S/1/7"|"GB-0466",1,"74/19/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kp1S/1/9"|"GB-0467",1,"90/19/26"|"Ольха"|"Поп"|"Полка"|"Гербор"
"kl/8/5"|"GB-0468",1,"58/81,5/2"|"Ольха"|"Поп"|"Зеркало"|"Гербор"
"kwl/15/10"|"GB-0469",1,"100/154/20"|"Ольха"|"Поп"|"Вешалка"|"Гербор"
"kd/4/6"|"GB-0470",1,"60/43/36,5"|"Ольха"|"Поп"|"Шкафчик"|"Гербор"
"kbiu/7/12"|"GB-0471",1,"120/72,5/60"|"Ольха"|"Поп"|"Стол"|"Гербор"
"k1s/4/4"|"GB-0472",1,"39/43/33,5"|"Ольха"|"Поп"|"Тумба"|"Гербор"
"Ромео"|"GB-0473",1,"339,5/214/53"|"Ольха/ орех экко/бук"|"Ромео"|"Гостинная"|"Гербор"
"Стол журнальный "|"GB-0474",1,"110/55/60"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Журнальные столики"|"Гербор"
"КОМОД H"|"GB-0475",1,"94/94/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"комод"|"Гербор"
"КОМОД Q"|"GB-0476",1,"64/94/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"комод"|"Гербор"
"КОМОД R"|"GB-0477",1,"103/94/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"комод"|"Гербор"
"КОМОД S"|"GB-0478",1,"160/94/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"комод"|"Гербор"
"W 160 (каркас)"|"GB-0479",1,"180,5/84,5-46,5/205,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Кровать"|"Гербор"
"V 90(каркас)"|"GB-0480",1,"110,5/84,5-46,5/205,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Кровать"|"Гербор"
"Стол обеденный D"|"GB-0481",1,"148/75/88"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Обеденные столы"|"Гербор"
"Стол письменный X"|"GB-0482",1,"130/78/70"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Письменный стол"|"Гербор"
"Стол письменный G"|"GB-0483",1,"170/78/78"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Письменный стол"|"Гербор"
"Тумба"|"GB-0484",1,"160/59/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Тумбы РТВ"|"Гербор"
"Тумба РТВ"|"GB-0485",1,"104/59/56,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Тумбы РТВ"|"Гербор"
"Шкаф А"|"GB-0486",1,"94/200/56,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Шкаф"|"Гербор"
"Пенал В"|"GB-0487",1,"94/200/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Пенал"|"Гербор"
"Пенал С"|"GB-0488",1,"54/200/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Пенал"|"Гербор"
"Пенал Е"|"GB-0489",1,"54/200/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Пенал"|"Гербор"
"Пенал F"|"GB-0490",1,"94/200/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Пенал"|"Гербор"
"Пенал J"|"GB-0491",1,"54/200/56,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Пенал"|"Гербор"
"Тумба L"|"GB-0492",1,"94/130/39,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Тумба"|"Гербор"
"Полка навесная N"|"GB-0493",1,"104/128/23"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Полка"|"Гербор"
"Полка навесная О"|"GB-0494",1,"160/128/23"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Полка"|"Гербор"
"Тумба прикроватная"|"GB-0495",1,"54/46,5/38"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Тумба"|"Гербор"
"Шкаф"|"GB-0496",1,"134/200/65,5"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Шкаф"|"Гербор"
"Приставка угловая"|"GB-0497",1,"78/3/78"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Приставка"|"Гербор"
"Стол приставной "|"GB-0498",1,"130/78/720"|"Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива"|"Рост"|"Стол"|"Гербор"
"Саба"|"GB-0499",1,"335/213/54"|"яблоня локарно"|"Саба"|"Гостинная"|"Гербор"
"2D2S 80"|"GB-0500",1,"80/87,5/40"|"Клен онтарио"|"Севилла"|"комод"|"Гербор"
"4S 50"|"GB-0501",1,"50/87,5/40"|"Клен онтарио"|"Севилла"|"комод"|"Гербор"
"4S 80"|"GB-0502",1,"80/87,5/40"|"Клен онтарио"|"Севилла"|"комод"|"Гербор"
"стол письменный 120"|"GB-0503",1,"120/77,5/65"|"Клен онтарио"|"Севилла"|"Столы"|"Гербор"
"стеллаж-50"|"GB-0504",1,"50/205,5/40"|"Клен онтарио"|"Севилла"|"Стеллаж"|"Гербор"
"Шкаф комбинированный-80"|"GB-0505",1,"80/205,5/40"|"Клен онтарио"|"Севилла"|"Шкаф"|"Гербор"
"Шкаф платяной-50"|"GB-0506",1,"50/205,5/57"|"Клен онтарио"|"Севилла"|"Шкаф"|"Гербор"
"Шкаф платяной-80"|"GB-0507",1,"80/205,5/57"|"Клен онтарио"|"Севилла"|"Шкаф"|"Гербор"
"Ниша навесная - 202"|"GB-0508",1,"202,5/51/31"|"Клен онтарио"|"Севилла"|"Ниша"|"Гербор"
"Кровать раздвижная "|"GB-0509",1,"80/160/202 ; 79-154/60,5/202,5"|"Клен онтарио"|"Севилла"|"Кровать"|"Гербор"
"КОМОД"|"GB-0510",1,"77/81/44,5"|"орех экко"|"Сон"|"комод"|"Гербор"
"140(каркас)"|"GB-0511",1,"160/80,5/206"|"орех экко"|"Сон"|"Кровать"|"Гербор"
"160(каркас)"|"GB-0512",1,"180/80,5/206"|"орех экко"|"Сон"|"Кровать"|"Гербор"
"Стол туалетный"|"GB-0513",1,"69/168,5/41,5"|"орех экко"|"Сон"|"Столы"|"Гербор"
"Зеркало"|"GB-0514",1,"77/85,5/3"|"орех экко"|"Сон"|"Зеркало"|"Гербор"
"Тумбочка прикроватная"|"GB-0515",1,"47/39/40"|"орех экко"|"Сон"|"Тумба"|"Гербор"
"Надставка шкафа 3d"|"GB-0516",1,"157/49,5/63,5"|"орех экко"|"Сон"|"Шкаф"|"Гербор"
"Надставка шкафа 4d"|"GB-0517",1,"205,5/49,5/63,5"|"орех экко"|"Сон"|"Шкаф"|"Гербор"
"Шкаф 3d"|"GB-0518",1,"157/202,5/63,5"|"орех экко"|"Сон"|"Шкаф"|"Гербор"
"Шкаф 4d"|"GB-0519",1,"205,5/202,5/63,5"|"орех экко"|"Сон"|"Шкаф"|"Гербор"
"Стол журнальный 130"|"GB-0520",1,"130/51,5/65"|"Каштан"|"Соната"|"Журнальные столики"|"Гербор"
" 5S/6"|"GB-0521",1,"61,5/108,5/45"|"Каштан"|"Соната"|"комод"|"Гербор"
" 4S/6"|"GB-0522",1,"61,5/90,5/45"|"Каштан"|"Соната"|"комод"|"Гербор"
" 5S/10"|"GB-0523",1,"101/90,5/44,5"|"Каштан"|"Соната"|"комод"|"Гербор"
" 8S"|"GB-0524",1,"153,5/90,5/44,5"|"Каштан"|"Соната"|"комод"|"Гербор"
" 2D/2S"|"GB-0525",1,"101/90,5/45"|"Каштан"|"Соната"|"комод"|"Гербор"
" 3D/1S"|"GB-0526",1,"153,5/90,5/44,5"|"Каштан"|"Соната"|"комод"|"Гербор"
" УГЛОВОЙ 1DSN"|"GB-0527",1,"60,5/90,5/60,5"|"Каштан"|"Соната"|"комод"|"Гербор"
"s-038 90"|"GB-0528",1,"107/61-84/210"|"Каштан"|"Соната"|"Кровать"|"Гербор"
"s-039 140"|"GB-0529",1,"157/61-84/210"|"Каштан"|"Соната"|"Кровать"|"Гербор"
"s-040 160"|"GB-0530",1,"177/61-84/210"|"Каштан"|"Соната"|"Кровать"|"Гербор"
"s-041 180"|"GB-0531",1,"197/61-84/210"|"Каштан"|"Соната"|"Кровать"|"Гербор"
"Стол обеденный 140"|"GB-0532",1,"136/76/90"|"Каштан"|"Соната"|"Обеденные столы"|"Гербор"
"Стол обеденный 160"|"GB-0533",1,"160-200/76/90"|"Каштан"|"Соната"|"Обеденные столы"|"Гербор"
"Стол письменный 158к"|"GB-0534",1,"158/77/68"|"Каштан"|"Соната"|"Письменный стол"|"Гербор"
"Стол письменный 158"|"GB-0535",1,"158/77/68"|"Каштан"|"Соната"|"Столы"|"Гербор"
"Стол письменный 158к"|"GB-0536",1,"158/77/68"|"Каштан"|"Соната"|"Столы"|"Гербор"
"Тумба для обуви 1d"|"GB-0537",1,"88,5/59,5/32"|"Каштан"|"Соната"|"Тумбы для обуви"|"Гербор"
"Тумба для обуви 3d"|"GB-0538",1,"72/121/19"|"Каштан"|"Соната"|"Тумбы для обуви"|"Гербор"
"Тумба для обуви 6d"|"GB-0539",1,"136/120,5/19"|"Каштан"|"Соната"|"Тумбы для обуви"|"Гербор"
"Тумба РТВ 70"|"GB-0540",1,"70/54/46,5"|"Каштан"|"Соната"|"Тумбы РТВ"|"Гербор"
"Тумба РТВ 100"|"GB-0541",1,"101/54/54,5"|"Каштан"|"Соната"|"Тумбы РТВ"|"Гербор"
"Тумба РТВ 130"|"GB-0542",1,"130/54/54,5"|"Каштан"|"Соната"|"Тумбы РТВ"|"Гербор"
"Стол приставной 135"|"GB-0543",1,"135/73/59"|"Каштан"|"Соната"|"Стол"|"Гербор"
"Зеркало  102"|"GB-0544",1,"102/106,5/11"|"Каштан"|"Соната"|"Зеркало"|"Гербор"
"Зеркало 155"|"GB-0545",1,"154,5/88/11"|"Каштан"|"Соната"|"Зеркало"|"Гербор"
"Витрина 2w (надставка)"|"GB-0546",1,"110/114,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 2wz(надставка)"|"GB-0547",1,"110/114,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 3w(надставка)"|"GB-0548",1,"162,5/114,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 3wz(надставка)"|"GB-0549",1,"162,5/114,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина угловая 1wn (надставка)"|"GB-0550",1,"58,5/114,5/58,5"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 1dl"|"GB-0551",1,"70,5/204,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 1dp"|"GB-0552",1,"70,5/204,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 2d2s  "|"GB-0553",1,"110/204,5/43"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Витрина 3w/2s"|"GB-0554",1,"167,5/204,5/43-49,5"|"Каштан"|"Соната"|"Витрина"|"Гербор"
"Пенал открытый 60о"|"GB-0555",1,"70,5/204,5/43"|"Каштан"|"Соната"|"Пенал"|"Гербор"
"Пенал открытый 100о"|"GB-0556",1,"110/204,5/43"|"Каштан"|"Соната"|"Пенал"|"Гербор"
"Пенал 1dl"|"GB-0557",1,"70,5/204,5/43"|"Каштан"|"Соната"|"Пенал"|"Гербор"
"Пенал 1dp"|"GB-0558",1,"70,5/204,5/43"|"Каштан"|"Соната"|"Пенал"|"Гербор"
"Шкаф 2d/2s"|"GB-0559",1,"110/204,5/43"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Шкаф 2d/1s"|"GB-0560",1,"110/204,5/65,5"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Шкаф 3d/2s"|"GB-0561",1,"178/225/53-65,5"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Шкаф 4d/2s"|"GB-0562",1,"227/225/53-65,5"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Шкаф угловой 2dn"|"GB-0563",1,"111,5/204,5/111,5"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Шкаф угловой 2dnH"|"GB-0564",1,"111,5/222,5/111,5"|"Каштан"|"Соната"|"Шкаф"|"Гербор"
"Полка-100"|"GB-0565",1,"101/3/25"|"Каштан"|"Соната"|"Полка"|"Гербор"
"Тумбочка прикроватная   "|"GB-0566",1,"57/53,5/38,5"|"Каштан"|"Соната"|"Тумба"|"Гербор"
"Вешалка 145"|"GB-0567",1,"93,5/145/11"|"Каштан"|"Соната"|"Вешалка"|"Гербор"
"Вешалка 190"|"GB-0568",1,"50/191,5"|"Каштан"|"Соната"|"Вешалка"|"Гербор"
"Прихожая 110L"|"GB-0569",1,"119/204,5/43"|"Каштан"|"Соната"|"Прихожая"|"Гербор"
"Прихожая 110P"|"GB-0570",1,"119/204,5/43"|"Каштан"|"Соната"|"Прихожая"|"Гербор"
"Прихожая 150L"|"GB-0571",1,"151/204,5/43"|"Каштан"|"Соната"|"Прихожая"|"Гербор"
"Прихожая 150P"|"GB-0572",1,"151/204,5/43"|"Каштан"|"Соната"|"Прихожая"|"Гербор"
"Стас"|"GB-0573",1,"287,5/212/57,5"|"ольха"|"Стас"|"Гостинная"|"Гербор"
"NRTV_1S"|"GB-0574",1,"103/56/55"|"Черешня античная"|"Стилиус"|"Тумба РТВ"|"Гербор"
"NLAW_120"|"GB-0575",1,"60/50,5/120"|"Черешня античная"|"Стилиус"|"Стол"|"Гербор"
"NSTO_145/180"|"GB-0576",1,"85/76,5/145-180"|"Черешня античная"|"Стилиус"|"Стол"|"Гербор"
"NBIU_170"|"GB-0577",1,"75/77,5/170"|"Черешня античная"|"Стилиус"|"Стол письменный"|"Гербор"
"NLUS_90"|"GB-0578",1,"97,5/87,5/6"|"Черешня античная"|"Стилиус"|"Зеркало"|"Гербор"
"NLUS_125"|"GB-0579",1,"132/87,5/6"|"Черешня античная"|"Стилиус"|"Зеркало"|"Гербор"
"NNAD_2W"|"GB-0580",1,"97,5/115/36,5"|"Черешня античная"|"Стилиус"|"Витрина надставка"|"Гербор"
"NKOM_3S"|"GB-0581",1,"103/86,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_4D2S"|"GB-0582",1,"173/86,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_5S"|"GB-0583",1,"58,5/128,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_6S"|"GB-0584",1,"103/128,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_2W3S1B"|"GB-0585",1,"153/128,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_2D2S"|"GB-0586",1,"93/86,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NNAD_3W"|"GB-0587",1,"137/115/36,5"|"Черешня античная"|"Стилиус"|"Надставка"|"Гербор"
"NNAD_1WN"|"GB-0588",1,"51,5/115/51,5"|"Черешня античная"|"Стилиус"|"Надставка"|"Гербор"
"NKOM_3D1S"|"GB-0589",1,"133/86,5/44,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_1D1SN"|"GB-0590",1,"57,5/86,5/57,5"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NWIT_1DL/P"|"GB-0591",1,"67,5/201,5/39"|"Черешня античная"|"Стилиус"|"Витрина"|"Гербор"
"NWIT_2D1S"|"GB-0592",1,"97,5/201,5/39"|"Черешня античная"|"Стилиус"|"Витрина"|"Гербор"
"NWIT_3D2S"|"GB-0593",1,"142/201,5/39"|"Черешня античная"|"Стилиус"|"Витрина"|"Гербор"
"NWIT_2DN"|"GB-0594",1,"97,5/201,5/46"|"Черешня античная"|"Стилиус"|"Витрина"|"Гербор"
"NREG_60"|"GB-0595",1,"62,5/201,5/39"|"Черешня античная"|"Стилиус"|"Пенал"|"Гербор"
"NREG_100"|"GB-0596",1,"97,5/201,5/39"|"Черешня античная"|"Стилиус"|"Пенал"|"Гербор"
"NREG_1D L/P"|"GB-0597",1,"62,5/201,5/39"|"Черешня античная"|"Стилиус"|"Пенал"|"Гербор"
"NREG_2D1S"|"GB-0598",1,"97,5/201,5/39"|"Черешня античная"|"Стилиус"|"Пенал"|"Гербор"
"NSZF_1D1S L/P"|"GB-0599",1,"67,5/201,5/43"|"Черешня античная"|"Стилиус"|"Шкаф"|"Гербор"
"NSZF_2D1S"|"GB-0600",1,"97,5/201,5/61,5"|"Черешня античная"|"Стилиус"|"Шкаф"|"Гербор"
"NSZF_3D2S"|"GB-0601",1,"152,/221,/61,5"|"Черешня античная"|"Стилиус"|"Шкаф"|"Гербор"
"NSZF_4D1S"|"GB-0602",1,"197/221/61,5"|"Черешня античная"|"Стилиус"|"Шкаф"|"Гербор"
"NKOM_1SO"|"GB-0603",1,"58,5/51/37"|"Черешня античная"|"Стилиус"|"Тумба"|"Гербор"
"NLOZ 160 (+ламель)"|"GB-0604",1,"169/56-79/209"|"Черешня античная"|"Стилиус"|"Кровать"|"Гербор"
"NKOM_1D1SN"|"GB-0605",1,"53,5/86,5/37"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NKOM_1S"|"GB-0606",1,"73,5/42/37"|"Черешня античная"|"Стилиус"|"Комод"|"Гербор"
"NLUS_46"|"GB-0607",1,"53/107,5/6"|"Черешня античная"|"Стилиус"|"Вешалка"|"Гербор"
"NWIE_70"|"GB-0608",1,"71/159/3"|"Черешня античная"|"Стилиус"|"Вешалка"|"Гербор"
"TRTV 60/70"|"GB-0609",1,"60/70/44,5"|"Ольха медовая/клен нида"|"Тип-топ"|"Тумба РТВ"|"Гербор"
"TROL_50"|"GB-0610",1,"50/8/22"|"Ольха медовая/клен нида"|"Тип-топ"|"Полка"|"Гербор"
"TROL_70"|"GB-0611",1,"67/8/22"|"Ольха медовая/клен нида"|"Тип-топ"|"Полка"|"Гербор"
"TROL_100"|"GB-0612",1,"100/8/22"|"Ольха медовая/клен нида"|"Тип-топ"|"Полка"|"Гербор"
"TNAD_90"|"GB-0613",1,"90/51,5/25,5"|"Ольха медовая/клен нида"|"Тип-топ"|"Полка"|"Гербор"
"TRTV_60/50"|"GB-0614",1,"60/49/33"|"Ольха медовая/клен нида"|"Тип-топ"|"Тумба РТВ"|"Гербор"
"TRTV_80/50"|"GB-0615",1,"80/49/50,5"|"Ольха медовая/клен нида"|"Тип-топ"|"Тумба РТВ"|"Гербор"
"TRTV_90/50"|"GB-0616",1,"90/49/50,5"|"Ольха медовая/клен нида"|"Тип-топ"|"Тумба РТВ"|"Гербор"
"TLAW_55/80"|"GB-0617",1,"55/52,5/80"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол журнальный"|"Гербор"
"TLAW_55/100"|"GB-0618",1,"55/53/100"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол журнальный"|"Гербор"
"TLAW_60/120"|"GB-0619",1,"60/52,5/120"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол журнальный"|"Гербор"
"TSTO_67/137"|"GB-0620",1,"67,5/76,5/137"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол обеденный"|"Гербор"
"TBIU_60"|"GB-0621",1,"50,5/74,5/60"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол"|"Гербор"
"TBIU_80"|"GB-0622",1,"50,5/74,5/80"|"Ольха медовая/клен нида"|"Тип-топ"|"Стол "|"Гербор"
