parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0317|стеллаж 80|GB-0317|1|80/91/37|Бук; Фасад: ольха синяя/бук|Малгося |Стеллаж|Гербор
0318|стеллаж угловой 9/4|GB-0318|1|37/91/37|Бук; Фасад: ольха синяя/бук|Малгося |Стеллаж|Гербор
0319|Стеллаж угловой внутренний 9/6|GB-0319|1|37-60/91/37-60|Бук; Фасад: ольха синяя/бук|Малгося |Стеллаж|Гербор
0320|Шкаф 20/8|GB-0320|1|80/201,5/54|Бук; Фасад: ольха синяя/бук|Малгося |Шкаф|Гербор
0321|Шкаф бельевой 20/8|GB-0321|1|80/201,5/37|Бук; Фасад: ольха синяя/бук|Малгося |Шкаф|Гербор
0322|Шкафчик 80 9/8|GB-0322|1|80/91/37|Бук; Фасад: ольха синяя/бук|Малгося |Шкаф|Гербор
0323|Шкаф угловой 20/7|GB-0323|1|37-67/201,5/37-67|Бук; Фасад: ольха синяя/бук|Малгося |Шкаф|Гербор
0324|Марк|GB-0324|1|393/213/54,5-28,5|орех экко|Марк|Гостинная|Гербор
0325|GLAW 125|GB-0325|1|125/56/65|Яблоня локарно|Нью-Йорк|Журнальные столики|Гербор
0326| GKOM 6S|GB-0326|1|78/113/45,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0327| GKOM 4S|GB-0327|1|78/94,5/45,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0328| GKOM 2D4S|GB-0328|1|118/94,5/45,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0329| GKOM 4D1S|GB-0329|1|155,5/94,5/45,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0330| GKOM 4D1SW|GB-0330|1|155,5/94,5/45,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0331| УГЛОВОЙ GKOM 1D1SN|GB-0331|1|54,5/94,5/54,5|Яблоня локарно|Нью-Йорк|комод|Гербор
0332| GKOM 1D1S|GB-0332|1|47/74,5/36|Яблоня локарно|Нью-Йорк|комод|Гербор
0333|GBUT 60|GB-0333|1|60/118Б5/36|Яблоня локарно|Нью-Йорк|комод|Гербор
0334|GLOZ 90|GB-0334|1|98,5/35-80/210|Яблоня локарно|Нью-Йорк|Кровать|Гербор
0335|GLOZ120|GB-0335|1|128?5/35-80/210|Яблоня локарно|Нью-Йорк|Кровать|Гербор
0336|GLOZ 140|GB-0336|1|148,5/35-80/210|Яблоня локарно|Нью-Йорк|Кровать|Гербор
0337|GLOZ 160|GB-0337|1|168,5/35-80/210|Яблоня локарно|Нью-Йорк|Кровать|Гербор
0338|Стол обеденный GSTO 140|GB-0338|1|136/76/90|Яблоня локарно|Нью-Йорк|Обеденные столы|Гербор
0339|Стол обеденный GSTO 170|GB-0339|1|172-213/76/90,5|Яблоня локарно|Нью-Йорк|Обеденные столы|Гербор
0340|Стол туалетный GTOL 114|GB-0340|1|114/74,5/46|Яблоня локарно|Нью-Йорк|Столы|Гербор
0341|GBIU113|GB-0341|1|113/74,5/66|Яблоня локарно|Нью-Йорк|Столы|Гербор
0342|GBIU150|GB-0342|1|150/74,5/66|Яблоня локарно|Нью-Йорк|Столы|Гербор
0343|GBUT 60|GB-0343|1|60/118,5/36|Яблоня локарно|Нью-Йорк|Тумбы для обуви|Гербор
0344|GBUT 90|GB-0344|1|90/118,5/36|Яблоня локарно|Нью-Йорк|Тумбы для обуви|Гербор
0345|GRTV 78|GB-0345|1|78/55/49|Яблоня локарно|Нью-Йорк|Тумбы РТВ|Гербор
0346|GRTV 90|GB-0346|1|91/55/49|Яблоня локарно|Нью-Йорк|Тумбы РТВ|Гербор
0347|GRTV 118|GB-0347|1|118/55/49|Яблоня локарно|Нью-Йорк|Тумбы РТВ|Гербор
0348|GRTV 155|GB-0348|1|155,5/55/49|Яблоня локарно|Нью-Йорк|Тумбы РТВ|Гербор
0349|GPNO 78|GB-0349|1|78/8/26|Яблоня локарно|Нью-Йорк|Полка|Гербор
0350|GPNO 90|GB-0350|1|91/8/26|Яблоня локарно|Нью-Йорк|Полка|Гербор
0351|GPNO 118|GB-0351|1|118/8/26|Яблоня локарно|Нью-Йорк|Полка|Гербор
0352|GPNO 155|GB-0352|1|155,5/8/26|Яблоня локарно|Нью-Йорк|Полка|Гербор
0353|GBIU120|GB-0353|1|120/72,5/60|Яблоня локарно|Нью-Йорк|Столы|Гербор
0354|GNAD 78o|GB-0354|1|85,5/105/37,5|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0355|GNAD 78w|GB-0355|1|85,5/105/37,5|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0356|GNAD 117 w|GB-0356|1|125/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0357|GNAD 117w/z|GB-0357|1|125/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0358|GNAD 117d|GB-0358|1|125/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0359|GBAR 2d|GB-0359|1|78/116/36|Яблоня локарно|Нью-Йорк|комод|Гербор
0360|GKOM 2d|GB-0360|1|78/113/36|Яблоня локарно|Нью-Йорк|комод|Гербор
0361|GNAD 155w|GB-0361|1|162,5/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0362|GNAD 155w/z|GB-0362|1|162,5/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0363|GNAD 155d|GB-0363|1|162,5/105/38|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0364|GNAD 1wn|GB-0364|1|50,5/105/50,5|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0365|GWIT 1dl|GB-0365|1|54,5/199,5/38|Яблоня локарно|Нью-Йорк|Витрина|Гербор
0366|GWIT 1dp|GB-0366|1|54,5/199,5/38|Яблоня локарно|Нью-Йорк|Витрина|Гербор
0367|GWIT 2d2s|GB-0367|1|85,5/199,5/38|Яблоня локарно|Нью-Йорк|Витрина|Гербор
0368|GREG50o|GB-0368|1|54,5/199,5/37,5|Яблоня локарно|Нью-Йорк|Пенал|Гербор
0369|GREG 80o|GB-0369|1|85,5/199,5/37,5|Яблоня локарно|Нью-Йорк|Пенал|Гербор
0370|GERG 2d|GB-0370|1|85,5/199,5/38|Яблоня локарно|Нью-Йорк|Шкаф|Гербор
0371|GSZF 2d2s|GB-0371|1|85,5/199,5/61,5|Яблоня локарно|Нью-Йорк|Шкаф|Гербор
0372|GNSZ 3d|GB-0372|1|145/45,5/61,5|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0373|GNSZ 4d|GB-0373|1|189/45,5/61,5|Яблоня локарно|Нью-Йорк|Надставка|Гербор
0374|GLUS 120|GB-0374|1|113,5/95,5/6|Яблоня локарно|Нью-Йорк|Зеркало|Гербор
0375|GSZF 3d|GB-0375|1|145/199,5/61,5|Яблоня локарно|Нью-Йорк|Шкаф|Гербор
0376|GSZF 4d|GB-0376|1|189/199,5/61,5|Яблоня локарно|Нью-Йорк|Шкаф|Гербор
0377|GKOM 1so|GB-0377|1|40,5/49,5/36|Яблоня локарно|Нью-Йорк|Тумба|Гербор
0378|GPWP 165|GB-0378|1|72,5/165/6|Яблоня локарно|Нью-Йорк|Вешалка|Гербор
0379|GPWD 165|GB-0379|1|74,5/165/35|Яблоня локарно|Нью-Йорк|Вешалка|Гербор
0380|GLUS 50|GB-0380|1|47,5/119,5/2,5|Яблоня локарно|Нью-Йорк|Зеркало|Гербор
0381|GLUS 60|GB-0381|1|60/75,5/2,5|Яблоня локарно|Нью-Йорк|Зеркало|Гербор
0382|GLUS 90|GB-0382|1|90/75,5/2,5|Яблоня локарно|Нью-Йорк|Зеркало|Гербор
0383|Нэль|GB-0383|1|265/198,5/56,5|ольха|Нэль|Гостинная|Гербор
0384|Нэо|GB-0384|1|304/219/53,5|Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар|Нэо|Гостинная|Гербор
0385|klaw/110/S|GB-0385|1|110/53/60|Ольха|Поп|Журнальные столики|Гербор
0386|klaw/S/142|GB-0386|1|142-182/59-75/71,5|Ольха|Поп|Журнальные столики|Гербор
0387|K6S/11/5|GB-0387|1|54/113,5/33,5|Ольха|Поп|комод|Гербор
0388|K5SO/11/7|GB-0388|1|74/113,5/33,5|Ольха|Поп|комод|Гербор
0389|KD3SO/11/11|GB-0389|1|109,5/113,5/33,5|Ольха|Поп|комод|Гербор
0390|K4S/8/5|GB-0390|1|54/86/33,5|Ольха|Поп|комод|Гербор
0391|K4S/8/7|GB-0391|1|74/86/33,5|Ольха|Поп|комод|Гербор
0392|K4SO/8/7|GB-0392|1|74/86/33,5|Ольха|Поп|комод|Гербор
0393|KD4S/8/11|GB-0393|1|109,5/86/33,5|Ольха|Поп|комод|Гербор
0394|K4S/7/4|GB-0394|1|39/75,5/33,5|Ольха|Поп|комод|Гербор
0395|KD1S/8/4|GB-0395|1|40/80,5/36,5|Ольха|Поп|комод|Гербор
0396|K3SO/8/4|GB-0396|1|40/80,5/36,5|Ольха|Поп|комод|Гербор
0397|ps-084 kloz/90(каркас)|GB-0397|1|97,5/50-80/205,5|Ольха|Поп|Кровать|Гербор
0398|ps-085 kloz/120(каркас)|GB-0398|1|127,5/50-80/205,5|Ольха|Поп|Кровать|Гербор
0399|ps-086 kloz/140(каркас)|GB-0399|1|147,5/50-80/205,5|Ольха|Поп|Кровать|Гербор
0400|ps-087 kloz/160(каркас)|GB-0400|1|167,5/50-80/205,5|Ольха|Поп|Кровать|Гербор
0401|kbiu/8/16|GB-0401|1|160/75,5/75|Ольха|Поп|Столы|Гербор
0402|kbiu/8/14|GB-0402|1|135/75,5/67,5|Ольха|Поп|Столы|Гербор
0403|kbiu/8/12|GB-0403|1|120/75,5/60|Ольха|Поп|Столы|Гербор
0404|kbiu/8/11|GB-0404|1|109,5/75,5/60|Ольха|Поп|Столы|Гербор
0405|kbiu/8/9|GB-0405|1|90/75,5/60|Ольха|Поп|Столы|Гербор
0406|kbiun/8/9|GB-0406|1|90,5/75,5/90,5|Ольха|Поп|Столы|Гербор
0407|kpb/19/6|GB-0407|1|60/198,5/36,5|Ольха|Поп|Шкаф для обуви|Гербор
0408|kpb/18/5|GB-0408|1|53/182,5/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0409|kpb/14/5|GB-0409|1|53/144/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0410|kpb/10/5|GB-0410|1|53/105,5/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0411|kpb/12/7|GB-0411|1|76/127/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0412|kpb/8/7|GB-0412|1|76/88,5/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0413|kpb/14/10|GB-0413|1|104/144/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0414|kpb/10/10|GB-0414|1|104/105/17,5|Ольха|Поп|Тумбы для обуви|Гербор
0415|krtv1s/7/9|GB-0415|1|90/69/50,5|Ольха|Поп|Тумбы РТВ|Гербор
0416|krtvd1s/5/9|GB-0416|1|90/51/58|Ольха|Поп|Тумбы РТВ|Гербор
0417|krtvd1s/5/11|GB-0417|1|109,5/51/58|Ольха|Поп|Тумбы РТВ|Гербор
0418|knzo/19/3|GB-0418|1|33/198,5/33|Ольха|Поп|Пенал|Гербор
0419|k3so/19/4|GB-0419|1|39/198,5/26,5|Ольха|Поп|Пенал|Гербор
0420|kop/19/4|GB-0420|1|39/198,5/27|Ольха|Поп|Пенал|Гербор
0421|ko/19/5|GB-0421|1|54/198,5/33,5|Ольха|Поп|Пенал|Гербор
0422|ko/19/7|GB-0422|1|74/198,5/33,5|Ольха|Поп|Пенал|Гербор
0423|kd/19/5|GB-0423|1|54/198,5/40|Ольха|Поп|Шкаф|Гербор
0424|kd/19/7|GB-0424|1|74/198,5/40|Ольха|Поп|Шкаф|Гербор
0425|ksu/19/5|GB-0425|1|54/198,,5/55|Ольха|Поп|Шкаф|Гербор
0426|ksu/19/7|GB-0426|1|74/198,5/55|Ольха|Поп|Шкаф|Гербор
0427|kd2s/19/5|GB-0427|1|54/198,5/40|Ольха|Поп|Шкаф|Гербор
0428|kd2s/19/7|GB-0428|1|74/198,5/40|Ольха|Поп|Шкаф|Гербор
0429|ksu2s/19/5|GB-0429|1|54/198,5/55|Ольха|Поп|Шкаф|Гербор
0430|ksu2s/19/7|GB-0430|1|74/198,5/55|Ольха|Поп|Шкаф|Гербор
0431|ksu/19/11|GB-0431|1|109,5/198,5/55|Ольха|Поп|Шкаф|Гербор
0432|ksun/19/7|GB-0432|1|71,5/198,5/33-71,5|Ольха|Поп|Шкаф|Гербор
0433|kb/19/7|GB-0433|1|74/198,5/33,5|Ольха|Поп|Шкаф|Гербор
0434|kw2s/19/5|GB-0434|1|54/198,5/40|Ольха|Поп|Витрина|Гербор
0435|kw2s/19/7|GB-0435|1|74/198,5/40|Ольха|Поп|Витрина|Гербор
0436|kw/11/7|GB-0436|1|74/113,5/33,5|Ольха|Поп|Витрина|Гербор
0437|kw3so/11/11|GB-0437|1|109,5/113,5/33,5|Ольха|Поп|Витрина|Гербор
0438|kr/16/9|GB-0438|1|88/172/28|Ольха|Поп|Стеллаж|Гербор
0439|kr/16/11|GB-0439|1|108/172/28|Ольха|Поп|Стеллаж|Гербор
0440|kr1s/13/9|GB-0440|1|90/130/28|Ольха|Поп|Стеллаж|Гербор
0441|ko/11/4|GB-0441|1|39/113,5/33,5|Ольха|Поп|Стеллаж|Гербор
0442|ko/11/5|GB-0442|1|54/113,5/33,5|Ольха|Поп|Стеллаж|Гербор
0443|ko/11/7|GB-0443|1|74/113,5/33,5|Ольха|Поп|Стеллаж|Гербор
0444|knzo/11/3|GB-0444|1|33/113,5/33|Ольха|Поп|Стеллаж|Гербор
0445|know/11/6|GB-0445|1|58/113,5/33-58|Ольха|Поп|Стеллаж|Гербор
0446|kdo/11/5|GB-0446|1|54/113,5/33,5|Ольха|Поп|Шкафчик|Гербор
0447|kdo/11/7|GB-0447|1|74/113,5/33,5|Ольха|Поп|Шкафчик|Гербор
0448|kdo/8/7|GB-0448|1|74/86/33,5|Ольха|Поп|комод|Гербор
0449|kd/8/5|GB-0449|1|54/86/33,5|Ольха|Поп|Шкафчик|Гербор
0450|kd/8/7|GB-0450|1|74/86/33,5|Ольха|Поп|Шкафчик|Гербор
0451|kd/11/7|GB-0451|1|74/113,5/33,5|Ольха|Поп|Шкафчик|Гербор
0452|kb/11/5|GB-0452|1|54/113,5/33,5|Ольха|Поп|Комод|Гербор
0453|kn2s/11/11|GB-0453|1|120/111/26,5|Ольха|Поп|Надставка|Гербор
0454|kp/1/4|GB-0454|1|40/10/40|Ольха|Поп|Надставка|Гербор
0455|kpn/1/6|GB-0455|1|60/15/40|Ольха|Поп|Надставка|Гербор
0456|kp/1/5|GB-0456|1|54/8/26|Ольха|Поп|Полка|Гербор
0457|kp/1/6|GB-0457|1|65/8/26|Ольха|Поп|Полка|Гербор
0458|kp/1/7|GB-0458|1|74/8/26|Ольха|Поп|Полка|Гербор
0459|kp/1/9|GB-0459|1|90/8/26|Ольха|Поп|Полка|Гербор
0460|kp/1/11|GB-0460|1|109,5/8/26|Ольха|Поп|Полка|Гербор
0461|kp/3/11|GB-0461|1|109,5/32/26|Ольха|Поп|Полка|Гербор
0462|kpo/3/5|GB-0462|1|54/32/26,5|Ольха|Поп|Полка|Гербор
0463|kpo/3/7|GB-0463|1|74/32/26,5|Ольха|Поп|Полка|Гербор
0464|kpo/3/11|GB-0464|1|109,5/32/26,5|Ольха|Поп|Полка|Гербор
0465|kp1S/1/5|GB-0465|1|54/19/26|Ольха|Поп|Полка|Гербор
0466|kp1S/1/7|GB-0466|1|74/19/26|Ольха|Поп|Полка|Гербор
0467|kp1S/1/9|GB-0467|1|90/19/26|Ольха|Поп|Полка|Гербор
0468|kl/8/5|GB-0468|1|58/81,5/2|Ольха|Поп|Зеркало|Гербор
0469|kwl/15/10|GB-0469|1|100/154/20|Ольха|Поп|Вешалка|Гербор
0470|kd/4/6|GB-0470|1|60/43/36,5|Ольха|Поп|Шкафчик|Гербор
0471|kbiu/7/12|GB-0471|1|120/72,5/60|Ольха|Поп|Стол|Гербор
0472|k1s/4/4|GB-0472|1|39/43/33,5|Ольха|Поп|Тумба|Гербор
0473|Ромео|GB-0473|1|339,5/214/53|Ольха/ орех экко/бук|Ромео|Гостинная|Гербор
0474|Стол журнальный |GB-0474|1|110/55/60|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Журнальные столики|Гербор
0475|КОМОД H|GB-0475|1|94/94/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|комод|Гербор
0476|КОМОД Q|GB-0476|1|64/94/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|комод|Гербор
0477|КОМОД R|GB-0477|1|103/94/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|комод|Гербор
0478|КОМОД S|GB-0478|1|160/94/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|комод|Гербор
0479|W 160 (каркас)|GB-0479|1|180,5/84,5-46,5/205,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Кровать|Гербор
0480|V 90(каркас)|GB-0480|1|110,5/84,5-46,5/205,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Кровать|Гербор
0481|Стол обеденный D|GB-0481|1|148/75/88|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Обеденные столы|Гербор
0482|Стол письменный X|GB-0482|1|130/78/70|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Письменный стол|Гербор
0483|Стол письменный G|GB-0483|1|170/78/78|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Письменный стол|Гербор
0484|Тумба|GB-0484|1|160/59/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Тумбы РТВ|Гербор
0485|Тумба РТВ|GB-0485|1|104/59/56,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Тумбы РТВ|Гербор
0486|Шкаф А|GB-0486|1|94/200/56,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Шкаф|Гербор
0487|Пенал В|GB-0487|1|94/200/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Пенал|Гербор
0488|Пенал С|GB-0488|1|54/200/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Пенал|Гербор
0489|Пенал Е|GB-0489|1|54/200/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Пенал|Гербор
0490|Пенал F|GB-0490|1|94/200/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Пенал|Гербор
0491|Пенал J|GB-0491|1|54/200/56,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Пенал|Гербор
0492|Тумба L|GB-0492|1|94/130/39,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Тумба|Гербор
0493|Полка навесная N|GB-0493|1|104/128/23|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Полка|Гербор
0494|Полка навесная О|GB-0494|1|160/128/23|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Полка|Гербор
0495|Тумба прикроватная|GB-0495|1|54/46,5/38|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Тумба|Гербор
0496|Шкаф|GB-0496|1|134/200/65,5|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Шкаф|Гербор
0497|Приставка угловая|GB-0497|1|78/3/78|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Приставка|Гербор
0498|Стол приставной |GB-0498|1|130/78/720|Корпус: тик сиамский/слива; Фасад: черный глянец/белый глянец/техно-беж/слива|Рост|Стол|Гербор
0499|Саба|GB-0499|1|335/213/54|яблоня локарно|Саба|Гостинная|Гербор
0500|2D2S 80|GB-0500|1|80/87,5/40|Клен онтарио|Севилла|комод|Гербор
0501|4S 50|GB-0501|1|50/87,5/40|Клен онтарио|Севилла|комод|Гербор
0502|4S 80|GB-0502|1|80/87,5/40|Клен онтарио|Севилла|комод|Гербор
0503|стол письменный 120|GB-0503|1|120/77,5/65|Клен онтарио|Севилла|Столы|Гербор
0504|стеллаж-50|GB-0504|1|50/205,5/40|Клен онтарио|Севилла|Стеллаж|Гербор
0505|Шкаф комбинированный-80|GB-0505|1|80/205,5/40|Клен онтарио|Севилла|Шкаф|Гербор
0506|Шкаф платяной-50|GB-0506|1|50/205,5/57|Клен онтарио|Севилла|Шкаф|Гербор
0507|Шкаф платяной-80|GB-0507|1|80/205,5/57|Клен онтарио|Севилла|Шкаф|Гербор
0508|Ниша навесная - 202|GB-0508|1|202,5/51/31|Клен онтарио|Севилла|Ниша|Гербор
0509|Кровать раздвижная |GB-0509|1|80/160/202 ; 79-154/60,5/202,5|Клен онтарио|Севилла|Кровать|Гербор
0510|КОМОД|GB-0510|1|77/81/44,5|орех экко|Сон|комод|Гербор
0511|140(каркас)|GB-0511|1|160/80,5/206|орех экко|Сон|Кровать|Гербор
0512|160(каркас)|GB-0512|1|180/80,5/206|орех экко|Сон|Кровать|Гербор
0513|Стол туалетный|GB-0513|1|69/168,5/41,5|орех экко|Сон|Столы|Гербор
0514|Зеркало|GB-0514|1|77/85,5/3|орех экко|Сон|Зеркало|Гербор
0515|Тумбочка прикроватная|GB-0515|1|47/39/40|орех экко|Сон|Тумба|Гербор
0516|Надставка шкафа 3d|GB-0516|1|157/49,5/63,5|орех экко|Сон|Шкаф|Гербор
0517|Надставка шкафа 4d|GB-0517|1|205,5/49,5/63,5|орех экко|Сон|Шкаф|Гербор
0518|Шкаф 3d|GB-0518|1|157/202,5/63,5|орех экко|Сон|Шкаф|Гербор
0519|Шкаф 4d|GB-0519|1|205,5/202,5/63,5|орех экко|Сон|Шкаф|Гербор
0520|Стол журнальный 130|GB-0520|1|130/51,5/65|Каштан|Соната|Журнальные столики|Гербор
0521| 5S/6|GB-0521|1|61,5/108,5/45|Каштан|Соната|комод|Гербор
0522| 4S/6|GB-0522|1|61,5/90,5/45|Каштан|Соната|комод|Гербор
0523| 5S/10|GB-0523|1|101/90,5/44,5|Каштан|Соната|комод|Гербор
0524| 8S|GB-0524|1|153,5/90,5/44,5|Каштан|Соната|комод|Гербор
0525| 2D/2S|GB-0525|1|101/90,5/45|Каштан|Соната|комод|Гербор
0526| 3D/1S|GB-0526|1|153,5/90,5/44,5|Каштан|Соната|комод|Гербор
0527| УГЛОВОЙ 1DSN|GB-0527|1|60,5/90,5/60,5|Каштан|Соната|комод|Гербор
0528|s-038 90|GB-0528|1|107/61-84/210|Каштан|Соната|Кровать|Гербор
0529|s-039 140|GB-0529|1|157/61-84/210|Каштан|Соната|Кровать|Гербор
0530|s-040 160|GB-0530|1|177/61-84/210|Каштан|Соната|Кровать|Гербор
0531|s-041 180|GB-0531|1|197/61-84/210|Каштан|Соната|Кровать|Гербор
0532|Стол обеденный 140|GB-0532|1|136/76/90|Каштан|Соната|Обеденные столы|Гербор
0533|Стол обеденный 160|GB-0533|1|160-200/76/90|Каштан|Соната|Обеденные столы|Гербор
0534|Стол письменный 158к|GB-0534|1|158/77/68|Каштан|Соната|Письменный стол|Гербор
0535|Стол письменный 158|GB-0535|1|158/77/68|Каштан|Соната|Столы|Гербор
0536|Стол письменный 158к|GB-0536|1|158/77/68|Каштан|Соната|Столы|Гербор
0537|Тумба для обуви 1d|GB-0537|1|88,5/59,5/32|Каштан|Соната|Тумбы для обуви|Гербор
0538|Тумба для обуви 3d|GB-0538|1|72/121/19|Каштан|Соната|Тумбы для обуви|Гербор
0539|Тумба для обуви 6d|GB-0539|1|136/120,5/19|Каштан|Соната|Тумбы для обуви|Гербор
0540|Тумба РТВ 70|GB-0540|1|70/54/46,5|Каштан|Соната|Тумбы РТВ|Гербор
0541|Тумба РТВ 100|GB-0541|1|101/54/54,5|Каштан|Соната|Тумбы РТВ|Гербор
0542|Тумба РТВ 130|GB-0542|1|130/54/54,5|Каштан|Соната|Тумбы РТВ|Гербор
0543|Стол приставной 135|GB-0543|1|135/73/59|Каштан|Соната|Стол|Гербор
0544|Зеркало 102|GB-0544|1|102/106,5/11|Каштан|Соната|Зеркало|Гербор
0545|Зеркало 155|GB-0545|1|154,5/88/11|Каштан|Соната|Зеркало|Гербор
0546|Витрина 2w (надставка)|GB-0546|1|110/114,5/43|Каштан|Соната|Витрина|Гербор
0547|Витрина 2wz(надставка)|GB-0547|1|110/114,5/43|Каштан|Соната|Витрина|Гербор
0548|Витрина 3w(надставка)|GB-0548|1|162,5/114,5/43|Каштан|Соната|Витрина|Гербор
0549|Витрина 3wz(надставка)|GB-0549|1|162,5/114,5/43|Каштан|Соната|Витрина|Гербор
0550|Витрина угловая 1wn (надставка)|GB-0550|1|58,5/114,5/58,5|Каштан|Соната|Витрина|Гербор
0551|Витрина 1dl|GB-0551|1|70,5/204,5/43|Каштан|Соната|Витрина|Гербор
0552|Витрина 1dp|GB-0552|1|70,5/204,5/43|Каштан|Соната|Витрина|Гербор
0553|Витрина 2d2s |GB-0553|1|110/204,5/43|Каштан|Соната|Витрина|Гербор
0554|Витрина 3w/2s|GB-0554|1|167,5/204,5/43-49,5|Каштан|Соната|Витрина|Гербор
0555|Пенал открытый 60о|GB-0555|1|70,5/204,5/43|Каштан|Соната|Пенал|Гербор
0556|Пенал открытый 100о|GB-0556|1|110/204,5/43|Каштан|Соната|Пенал|Гербор
0557|Пенал 1dl|GB-0557|1|70,5/204,5/43|Каштан|Соната|Пенал|Гербор
0558|Пенал 1dp|GB-0558|1|70,5/204,5/43|Каштан|Соната|Пенал|Гербор
0559|Шкаф 2d/2s|GB-0559|1|110/204,5/43|Каштан|Соната|Шкаф|Гербор
0560|Шкаф 2d/1s|GB-0560|1|110/204,5/65,5|Каштан|Соната|Шкаф|Гербор
0561|Шкаф 3d/2s|GB-0561|1|178/225/53-65,5|Каштан|Соната|Шкаф|Гербор
0562|Шкаф 4d/2s|GB-0562|1|227/225/53-65,5|Каштан|Соната|Шкаф|Гербор
0563|Шкаф угловой 2dn|GB-0563|1|111,5/204,5/111,5|Каштан|Соната|Шкаф|Гербор
0564|Шкаф угловой 2dnH|GB-0564|1|111,5/222,5/111,5|Каштан|Соната|Шкаф|Гербор
0565|Полка-100|GB-0565|1|101/3/25|Каштан|Соната|Полка|Гербор
0566|Тумбочка прикроватная |GB-0566|1|57/53,5/38,5|Каштан|Соната|Тумба|Гербор
0567|Вешалка 145|GB-0567|1|93,5/145/11|Каштан|Соната|Вешалка|Гербор
0568|Вешалка 190|GB-0568|1|50/191,5|Каштан|Соната|Вешалка|Гербор
0569|Прихожая 110L|GB-0569|1|119/204,5/43|Каштан|Соната|Прихожая|Гербор
0570|Прихожая 110P|GB-0570|1|119/204,5/43|Каштан|Соната|Прихожая|Гербор
0571|Прихожая 150L|GB-0571|1|151/204,5/43|Каштан|Соната|Прихожая|Гербор
0572|Прихожая 150P|GB-0572|1|151/204,5/43|Каштан|Соната|Прихожая|Гербор
0573|Стас|GB-0573|1|287,5/212/57,5|ольха|Стас|Гостинная|Гербор
