parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0052|Шкаф 2d 006|GB-0052|1|98/222/62|Ольха/каштан|Валерия|Шкаф|Гербор
0053|Шкаф 3d 2s|GB-0053|1|143/222/62|Ольха/каштан|Валерия|Шкаф|Гербор
0054|Шкаф 4d2s|GB-0054|1|188/222/62|Ольха/каштан|Валерия|Шкаф|Гербор
0055|Шкаф уголовой 2dn|GB-0055|1|117/222/119|Ольха/каштан|Валерия|Шкаф|Гербор
0056|Шкафчик навесной 4d|GB-0056|1|175/83/42|Ольха/каштан|Валерия|Шкаф|Гербор
0057|Зеркало 60/90|GB-0057|1|60/90/2,4|Ольха/каштан|Валерия|Зеркало|Гербор
0058|Зеркало 75/105|GB-0058|1|105/75/2,4|Ольха/каштан|Валерия|Зеркало|Гербор
0059|Тумба прикроватная |GB-0059|1|48/58/43|Ольха/каштан|Валерия|Тумба|Гербор
0060|Стол журнальный |GB-0060|1|110/53,5/60|яблоня темная/орех аоста темный|Виктор|Журнальные столики|Гербор
0061|Тумба ртв|GB-0061|1|80/51,5/50|яблоня темная/орех аоста темный|Виктор|Тумбы РТВ|Гербор
0062|Витрина 90(надставка)|GB-0062|1|97,4/160,7/45,5|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0063|Шкаф бельевой (надставка)|GB-0063|1|90/149/32|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0064|Бар( надставка)|GB-0064|1|90/149/32|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0065|Ртв(надставка)|GB-0065|1|90/149/36|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0066|Витрина-бар (надставка)|GB-0066|1|90/149/32|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0067|Витрина-шкаф бельевой(надставка)|GB-0067|1|90/149/32|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0068|Подставка 90 2s|GB-0068|1|90/53/50|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0069|Подставка 90 2d|GB-0069|1|90/53/50|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0070|Витрина(надставка)|GB-0070|1|88/161/145,5|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0071|Подставка 80 2s|GB-0071|1|80/53/50|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0072|Подставка 80 2d|GB-0072|1|80/53/50|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0073|Витрина 70 (надставка)|GB-0073|1|78/161,5/45,5|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0074|Подставка 70 2s|GB-0074|1|70/53/50|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0075|Пенал|GB-0075|1|53/214/51|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0076|Шкаф|GB-0076|1|98/214/65,5|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0077|Бар 80|GB-0077|1|80/131,5/36,5|яблоня темная/орех аоста темный|Виктор|Шкаф|Гербор
0078|Тумба РТВ|GB-0078|1|80/51,5/50|яблоня темная/орех аоста темный|Виктор|Тумба РТВ|Гербор
